MarkNumber	model	etype	robust	closed	occupancy	derived	default.mixtures	num	divisor	strata	simulate	LD	nDerived
144	OccRelClos	OccRelClos	FALSE	FALSE	TRUE	TRUE	1	0	1	FALSE	FALSE	FALSE	ngrps*(3+noccas)
145	HugginsRE	HugginsRE	FALSE	TRUE	FALSE	TRUE	1	0	1	FALSE	TRUE	FALSE	ngrps
146	RDHugginsRE	RDHugginsRE	TRUE	FALSE	FALSE	TRUE	1	0	1	FALSE	TRUE	FALSE	ngrps*nprimy
151	OccupancyRE	OccupancyRE	FALSE	FALSE	TRUE	TRUE	1	0	1	FALSE	TRUE	FALSE	ngrps
158	UnIdLogitNormalMR	UnIdLogitNormalMR	TRUE	TRUE	FALSE	TRUE	1	-1	1	FALSE	FALSE	FALSE	ngrps*noccas
159	UnIdIELogitNormalMR	UnIdIELogitNormalMR	TRUE	TRUE	FALSE	TRUE	1	-1	1	FALSE	FALSE	FALSE	ngrps*noccas*2
160	UnIdPoissonMR	UnIdPoissonMR	FALSE	TRUE	FALSE	TRUE	1	-1	2	FALSE	FALSE	FALSE	ngrps*noccas*3
161	DensityRanpc	DensityRanpc	FALSE	TRUE	FALSE	TRUE	1	-1	1	FALSE	FALSE	FALSE	ngrps
171	ZiUnIdPoissonMRwithin	ZiUnIdPoissonMRwithin	FALSE	TRUE	FALSE	TRUE	1	-1	2	FALSE	FALSE	FALSE	ngrps*noccas*3
172	PoissonMRacross	PoissonMRacross	FALSE	TRUE	FALSE	TRUE	1	-1	2	FALSE	FALSE	FALSE	ngrps*noccas*3
173	UnIdPoissonMRacross	UnIdPoissonMRacross	FALSE	TRUE	FALSE	TRUE	1	-1	2	FALSE	FALSE	FALSE	ngrps*noccas*3
174	ZiUnIdPoissonMRacross	ZiUnIdPoissonMRacross	FALSE	TRUE	FALSE	TRUE	1	-1	2	FALSE	FALSE	FALSE	ngrps*noccas*3
175	RDMultScalOcc	RDMultScalOcc	TRUE	FALSE	TRUE	TRUE	1	0	1	FALSE	FALSE	FALSE	ngrps*(nprimy+(nprimy-1)*2)
177	NSpeciesOcc	NSpeciesOcc	FALSE	FALSE	TRUE	TRUE	1	0	2	FALSE	FALSE	FALSE	(2**nspeciesocc)*ngrps
178	HidMarkov	HidMarkov	FALSE	FALSE	FALSE	FALSE	1	-1	1	TRUE	TRUE	FALSE	0
183	MSJollySeber	MSJollySeber	FALSE	FALSE	FALSE	TRUE	1	0	1	TRUE	TRUE	FALSE	ngrps+ngrps*noccas*(nstrta+1)*2+ngrps*4
184	RDMSOpenMCSeas2	RDMSOpenMCSeas2	TRUE	FALSE	FALSE	TRUE	1	0	1	TRUE	FALSE	FALSE	ngrps*nstrta*nprimy*7+ngrps*nstrta*noccas

