MarkNumber	dpar_label	Group	Strata	Occasion	OccNum	Session	SessNum
44	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
45	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
46	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
47	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
48	S Overall Survival	NA	NA	FALSE	0	FALSE	0
49	N Population Size	NA	NA	FALSE	0	FALSE	0
50	N Population Size	NA	NA	FALSE	0	FALSE	0
51	N Population Size	NA	NA	FALSE	0	FALSE	0
52	N Population Size	NA	NA	FALSE	0	FALSE	0
53	N Population Size	NA	NA	FALSE	0	FALSE	0
54	N Population Size	NA	NA	FALSE	0	FALSE	0
55	N Population Size	NA	NA	FALSE	0	TRUE	nocc
56	N Population Size	NA	NA	FALSE	0	TRUE	nocc
57	N Population Size	NA	NA	FALSE	0	TRUE	nocc
58	N Population Size	NA	NA	FALSE	0	TRUE	nocc
59	N Population Size	NA	NA	FALSE	0	TRUE	nocc
60	N Population Size	NA	NA	FALSE	0	TRUE	nocc
61	N Population Size	NA	NA	FALSE	0	TRUE	nocc
62	N Population Size	NA	NA	FALSE	0	TRUE	nocc
63	N Population Size	NA	NA	FALSE	0	TRUE	nocc
64	N Population Size	NA	NA	FALSE	0	TRUE	nocc
65	N Population Size	NA	NA	FALSE	0	TRUE	nocc
66	N Population Size	NA	NA	FALSE	0	TRUE	nocc
67	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
67	Lambda Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
67	log(Lambda) Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
68	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
68	Lambda Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
68	log(Lambda) Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
69	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
69	Lambda Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
69	log(Lambda) Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
70	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
70	Lambda Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
70	log(Lambda) Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
71	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
71	Lambda Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
71	log(Lambda) Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
72	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
72	Lambda Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
72	log(Lambda) Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
73	N Population Size	NA	NA	FALSE	0	TRUE	nocc
73	Lambda Population Change	NA	NA	FALSE	0	TRUE	nocc-1
73	log(Lambda) Population Change	NA	NA	FALSE	0	TRUE	nocc-1
74	N Population Size	NA	NA	FALSE	0	TRUE	nocc
74	Lambda Population Change	NA	NA	FALSE	0	TRUE	nocc-1
74	log(Lambda) Population Change	NA	NA	FALSE	0	TRUE	nocc-1
75	N Population Size	NA	NA	FALSE	0	TRUE	nocc
75	Lambda Population Change	NA	NA	FALSE	0	TRUE	nocc-1
75	log(Lambda) Population Change	NA	NA	FALSE	0	TRUE	nocc-1
76	N Population Size	NA	NA	FALSE	0	TRUE	nocc
76	Lambda Population Change	NA	NA	FALSE	0	TRUE	nocc-1
76	log(Lambda) Population Change	NA	NA	FALSE	0	TRUE	nocc-1
77	N Population Size	NA	NA	FALSE	0	TRUE	nocc
77	Lambda Population Change	NA	NA	FALSE	0	TRUE	nocc-1
77	log(Lambda) Population Change	NA	NA	FALSE	0	TRUE	nocc-1
78	N Population Size	NA	NA	FALSE	0	TRUE	nocc
78	Lambda Population Change	NA	NA	FALSE	0	TRUE	nocc-1
78	log(Lambda) Population Change	NA	NA	FALSE	0	TRUE	nocc-1
79	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
79	Lambda Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
79	log(Lambda) Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
80	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
80	Lambda Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
80	log(Lambda) Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
81	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
81	Lambda Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
81	log(Lambda) Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
82	N Population Size	TRUE	FALSE	FALSE	0	TRUE	nocc
82	Lambda Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
82	log(Lambda) Population Change	TRUE	FALSE	FALSE	0	TRUE	nocc-1
